Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Croda dei Baranci		46.689416	12.276556	46.689416,12.276556	2500	2922	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo Rondoi-Baranci > Nodo della Croda dei Baranci	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo Rondoi-Baranci	Nodo della Croda dei Baranci	II/C-31.I-A.1.b
Becca di Montandayné		45.533668	7.268558	45.533668,7.268558	3500	3838	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Cima dei Preti		46.34232	12.42105	46.34232,12.42105	2500	2707	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Catena Duranno-Monfalconi-Pramaggiore > Gruppo del Duranno	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Catena Duranno-Monfalconi-Pramaggiore	Gruppo del Duranno		II/C-33.III-A.3
Cimon del Froppa		46.507352	12.340558	46.507352,12.340558	2500	2932	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Cadorine > Gruppo delle Marmarole > Sottogruppo delle Marmarole	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Cadorine	Gruppo delle Marmarole	Sottogruppo delle Marmarole	II/C-31.I-E.21.b
Creta Forata		46.5425	12.73629	46.5425,12.73629	2000	2462	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo del Siera	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo del Siera	II/C-33.I-C.7.a
Croda Rossa d'Ampezzo		46.639749	12.138691	46.639749,12.138691	3000	3146	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Braies > Gruppo della Croda Rossa d'Ampezzo > Sottogruppo della Croda d'Ampezzo	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Braies	Gruppo della Croda Rossa d'Ampezzo	Sottogruppo della Croda d'Ampezzo	II/C-31.I-B.9.a
Gran Zebrù		46.47861	10.56833	46.47861,10.56833	3500	3857	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Gruppo Ortles-Gran Zebrù	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Gruppo Ortles-Gran Zebrù	II/C-28.I-A.1.c
Monte Duranno		46.32957	12.40262	46.32957,12.40262	2500	2652	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Prealpi Carniche > Dolomiti Friulane > Gruppo del Duranno	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Prealpi Carniche	Dolomiti Friulane	Gruppo del Duranno		II/C-33.III-A.3
Monte Popera		46.627022	12.388966	46.627022,12.388966	3000	3046	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti di Sesto > Gruppo del Popera > Sottogruppo di Cima Undici	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti di Sesto	Gruppo del Popera	Sottogruppo di Cima Undici	II/C-31.I-A.8.a
Monte Siera		46.54929	12.7111	46.54929,12.7111	2000	2443	Alpi Orientali > Alpi Sud-orientali > Alpi Carniche e della Gail > Alpi Carniche > Alpi tolmezzine occidentali > Dolomiti Pesarine > Gruppo del Siera	Alpi Orientali	Alpi Sud-orientali	Alpi Carniche e della Gail	Alpi Carniche	Alpi tolmezzine occidentali	Dolomiti Pesarine	Gruppo del Siera	II/C-33.I-C.7.a
