pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Period_categorisation	Alpinist	Guide	Nationality	Expedition_members	Fonti_relazionate_membri	Fonti_primarie	Altri_riferimenti	Fonti	source
item_1	Prima ascensione: Croda dei Baranci	Croda dei Baranci	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione		Quando Santo Siorpaes raggiunse la vetta era convinto di essere il primo. In realtà era già stata salita da Michl Innekofler, con Paul Grohmann, che però l’aveva registrata con un nome diverso. Le diatribe del tempo non coinvolsero i due grandi arrampicatori dolomitici.	01/07/1875	1875	silver age	Paul Grohmann, Michl Innerkofler		Austro-German alpine expedition	Paul Grohmann, Michl Innerkofler	Grohmann, Paul <1838-1908> - Ascensioni alpinistiche - Dolomiti - Sec. 19. Wanderungen in den Dolomiten[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:12002]|Grohmann, Paul <1838-1908> - La scoperta delle Dolomiti 1862[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:10882]|Sposito, Livio. Paul Grohmann : guida biografica alle sue vie[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:127829]|[Ritratto di] Paul Grohmann[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:110671]|Michl : Michl Innerkofler und Sextner Bergfuhrer : rifugi montagne guide alpine di Sesto / a cura di Bepi Pellegrinon ; testi di Camillo Berti, Rudolf Holzer, Bepi Pellegrinon ; con la collaborazione di Herbert Summerer e Kurt Stauder[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:40218]|Michel Innerkofler : guida alpina di Sesto / C. Berti[https://caisidoc.cai.it/risultati-della-ricerca/detail/view/mnmt:catalog:114913]				Articolo Wikipedia[https://www.montagna.tv/254868/croda-dei-baranci-una-montagna-per-due/]
item_1b	Prima ascensione: Croda dei Baranci	Croda dei Baranci	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione		La montagna fu salita per la prima volta il 17 luglio 1880 da Ludwig Grünwald e Santo Siorpaes.	17/07/1880	1880	silver age	Ludwig Grünwald, Santo Siorpaes		Austro-German alpine expedition	Ludwig Grünwald, Santo Siorpaes					Articolo Wikipedia[https://it.wikipedia.org/wiki/Croda_dei_Baranci]
item_2	Prima ascensione: Becca di Montandayné	Becca di Montandayné	FALSE		Silver age of alpinism		Prima ascensione		La montagna fu salita per la prima volta il 22 agosto 1875 da Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri	22/08/1875	1875	silver age	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Italian alpine expedition	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		<iframe src="https://caisidoc.cai.it:443/opac/detail/badge/mnmt:catalog:108881?height=250&showabstract=0&coversize=normal" frameborder="0" width="600" height="250"></iframe>			Articolo Wikipedia [https://it.wikipedia.org/wiki/Becca_di_Montandayn%C3%A9], Articolo SummitPost [https://www.summitpost.org/view_object.php?object_id=152353&context_id=176245]
item_3	Prima ascensione: Cima dei Preti	Cima dei Preti	FALSE		Silver age of alpinism		Prima ascensione		La prima ascesa è stata effettuata il 23 settembre 1874 dall'alpinista Maurice Holzmann con la guida ampezzana Santo Siorpaes.	23/09/1874	1874	silver age	Santo Siorpaes, Maurice Holzmann		Austro-German alpine expedition	Santo Siorpaes, Maurice Holzmann					Articolo Wikipedia[https://it.wikipedia.org/wiki/Cima_dei_Preti], Leggi anche[https://rampegoni.wordpress.com/2016/11/05/le-potenti-creste-della-cima-dei-preti/]
item_4	Prima ascensione: Cimon del Froppa	Cimon del Froppa	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione		La vetta fu conquistata il 19 agosto 1872 dal barone W. E. Utterson Kelso con la sua guida alpina Santo Siorpaes di Cortina d'Ampezzo. La prima ascensione femminile, avvenuta il 13 agosto 1888, si deve a Irene Pigatti.	19/08/1872	1872	silver age	William Edward Utterson-Kelso, Alberto De Falkner	Santo Siorpaes, Luigi Orsolina, Peter Salcher	British alpine expedition	William Edward Utterson-Kelso, Alberto De Falkner, Santo Siorpaes, Luigi Orsolina, Peter Salcher					Articolo Wikipedia[https://it.wikipedia.org/wiki/Cimon_del_Froppa]
item_5	Prima ascensione: Creta Forata	Creta Forata	FALSE				Prima ascensione		La montagna fu salita per la prima volta il 26 settembre 1878 da Santo Siorpaes e Maurice Holzmann	26/09/1878	1878	silver age	Santo Siorpaes, Maurice Holzmann		Austro-German alpine expedition	Santo Siorpaes, Maurice Holzmann					Articolo Wikipedia[https://it.wikipedia.org/wiki/Creta_Forata]
item_6	Prima ascensione: Croda Rossa d'Ampezzo	Croda Rossa d'Ampezzo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione		La conquista della vetta più alta ebbe luogo il 20 giugno 1870 ad opera di Whitwell, accompagnato dalle guide Siorpaes e Christian Lauener, risalendo il canalone ovest. Nel 1865 sfortunatamente era fallito invece, ad un passo dalla cima, il tentativo di Grohmann di conquistare con due guide la vetta lungo la parete nord-ovest. 	20/06/1870	1870	silver age	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		British alpine expedition	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes					Articolo Wikipedia[https://it.wikipedia.org/wiki/Croda_Rossa_d%27Ampezzo], Leggi anche[https://www.dolomitiunesco.info/attivita/croda-rossa-anniversario-ascesa-2]
item_7	Prima ascensione: Gran Zebrù	Gran Zebrù	FALSE		Golden age of alpinism		Prima ascensione		La letteratura alpinistica assegna alla cordata composta dall'alpinista-esploratore inglese Tuckett, dai fratelli Buxton, anch'essi britannici, e dalle guide tirolesi Biener e Michel il privilegio della prima assoluta, il 3 agosto 1864. Il gruppo seguì la via della cresta est, senza l'uso di ramponi.	03/08/1864	1864	golden age	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton	guide tirolesi Michel e Biener	British alpine expedition	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton, guide tirolesi Michel e Biener					Articolo Wikipedia[https://it.wikipedia.org/wiki/Gran_Zebr%C3%B9]
item_8	Prima ascensione: Monte Duranno	Monte Duranno	FALSE		Silver age of alpinism		Prima ascensione		La montagna fu salita per la prima volta il 22 luglio 1874 da Santo Siorpaes e William Edward Utterson-Kelso	22/07/1874	1874	silver age	Théodore Hare		Franco-Swiss alpine expedition	Théodore Hare					Articolo Wikipedia[https://it.wikipedia.org/wiki/Monte_Duranno]
item_9	Prima ascensione: Monte Popera	Monte Popera	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		Prima ascensione		Fu conquistata per la prima volta nel settembre 1874 da Santo Siorpaes con Maurice Holzmann tramite il catino della Busa di Dentro lungo quella che oggi è la via normale alla montagna.	01/09/1874	1874	silver age	Santo Siorpaes, Maurice Holzmann		Austro-German alpine expedition	Santo Siorpaes, Maurice Holzmann					Articolo Wikipedia[Articolo Wikipedia[https://it.wikipedia.org/wiki/Monte_Duranno]]
