pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Reference	source
item_1	Event on Croda dei Baranci 	Croda dei Baranci	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			17 luglio1880	1880	Ludwig Grünwald, Santo Siorpaes			Ludwig Grünwald, Santo Siorpaes		Wikipedia
item_2	Event on Becca di Montandayné 	Becca di Montandayné	FALSE		Silver age of alpinism		First absolute ascent			1875	1875	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Italian	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Wikipedia
item_3	Event on Cima dei Preti 	Cima dei Preti	FALSE		Silver age of alpinism		First absolute ascent			23 settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
item_4	Event on Cimon del Froppa 	Cimon del Froppa	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			19 agosto 1872	1872	Santo Siorpaes, William Edward Utterson-Kelso			Santo Siorpaes, William Edward Utterson-Kelso		Wikipedia
item_5	Event on Creta Forata 	Creta Forata	FALSE				First absolute ascent			26 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
item_6	Event on Croda Rossa d'Ampezzo 	Croda Rossa d'Ampezzo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			20/06/1870	1870	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		English	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		Wikipedia
item_7	Event on Gran Zebrù 	Gran Zebrù	FALSE		Golden age of alpinism		First absolute ascent			03/08/1864	1864	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton	guide tirolesi Michel e Biener	English	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton, guide tirolesi Michel e Biener		Wikipedia
item_8	Event on Monte Duranno 	Monte Duranno	FALSE		Silver age of alpinism		First absolute ascent			22 luglio 1874	1874	Santo Siorpaes, William Edward Utterson-Kelso		English	Santo Siorpaes, William Edward Utterson-Kelso		Wikipedia
item_9	Event on Monte Popera 	Monte Popera	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
item_10	Event on Monte Siera 	Monte Siera	FALSE				First absolute ascent			23 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
item_11	Event on Monte Terza Grande 	Monte Terza Grande	FALSE				First absolute ascent			25 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
item_12	Event on Zinalrothorn 	Zinalrothorn	FALSE		Golden age of alpinism		First absolute ascent			22 agosto 1864	1864	Leslie Stephen, Florence Crauford Grove	Jakob Anderegg, Melchior Anderegg	Switzerland, England	Leslie Stephen, Florence Crauford Grove, Jakob Anderegg, Melchior Anderegg	Studer, Vol 2, pp. 257-9	Wikipedia, Wikipedia Table
item_13	Event on Ago di Sciora 	Ago di Sciora	FALSE				First absolute ascent			04/06/1893	1893	Anton von Rydzewski	C. Klucker, Émile Rey		Anton von Rydzewski, C. Klucker, Émile Rey		Wikipedia
item_14	Event on Aiguille d'Argentière 	Aiguille d'Argentière	FALSE		Golden age of alpinism		First absolute ascent			15/07/1864	1864	Edward Whymper, Anthony Adams Reilly	Michel Croz, Michel-Clément Payot, Henri Charlet		Edward Whymper, Anthony Adams Reilly, Michel Croz, Michel-Clément Payot, Henri Charlet		Wikipedia
item_15	Event on Aiguille de la Bérangère 	Aiguille de la Bérangère	FALSE		Golden age of alpinism		First absolute ascent			agosto 1858	1858	Théodore Hare	Delphin Fournereaux		Théodore Hare, Delphin Fournereaux	Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	Wikipedia
item_16	Event on Aiguille de Rochefort 	Aiguille de Rochefort	FALSE		Silver age of alpinism		First absolute ascent			14 agosto1873	1873	James Eccles	Alphons Payot, Michel-Clément Payot		James Eccles, Alphons Payot, Michel-Clément Payot	Renato Chabod, Lorenzo Grivel, Silvio Saglio e Gino Buscaini, Monte Bianco, vol. II, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1968.	Wikipedia
item_17	Event on Aiguille Verte 	Aiguille Verte	FALSE		Silver age of alpinism		First absolute ascent			29/06/1865	1865	Edward Whymper, Christian Almer, Franz Biner		Switzerland, England	Edward Whymper, Christian Almer, Franz Biner		Wikipedia, Wikipedia Table
item_18	Event on Ankogel 	Ankogel	FALSE				First absolute ascent	Conflicting Hypotheses		1762	1762	Farmer Patschg		Austria	Farmer Patschg	Erschliessung 3, 247-8	Wikipedia Table
item_19	Event on Ankogel 	Ankogel	FALSE				First absolute ascent	Conflicting Hypotheses		1742	1742						Wikipedia
item_20	Event on Bietschhorn 	Bietschhorn	FALSE		Golden age of alpinism		First absolute ascent			13 agosto 1859	1859	Johann Siegen, Joseph Aebener, Leslie Stephen      		Switzerland, England	Johann Siegen, Joseph Aebener, Leslie Stephen      	Stephen misspelled his guides as "Zügler" and "Appener"; Studer, Vol 1, pp. 212-6	Wikipedia, Wikipedia Table
item_21	Event on Bifertenstock 	Bifertenstock	FALSE		Golden age of alpinism		First absolute ascent			7 settembre1863	1863						Wikipedia
item_22	Event on Bric Bucie 	Bric Bucie	FALSE		Silver age of alpinism		First absolute ascent			1876	1876						Wikipedia
item_23	Event on Campo Tencia 	Campo Tencia	FALSE		Silver age of alpinism		First absolute ascent			1867	1867	Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi	Peter Sulzere, Caveng		Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi, Peter Sulzere, Caveng		Wikipedia
item_24	Event on Cima di Nasta 	Cima di Nasta	FALSE				First absolute ascent			1878	1878	Douglas William Freshfield			Douglas William Freshfield		Wikipedia
item_25	Event on Cima Piazzi 	Cima Piazzi	FALSE		Silver age of alpinism		First absolute ascent			21 agosto 1867	1867	Johann Jacob Weilenmann, Franz Pöll, Santo Romani			Johann Jacob Weilenmann, Franz Pöll, Santo Romani		Wikipedia
item_26	Event on Crast' Agüzza 	Crast' Agüzza	FALSE		Silver age of alpinism		First absolute ascent		per la cresta ovest	17 luglio 1865	1865	Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner			Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner		Wikipedia
item_27	Event on Fluchthorn (Alpi Retiche occidentali) 	Fluchthorn (Alpi Retiche occidentali)	FALSE		Golden age of alpinism		First absolute ascent			1862	1862	Johann Jakob Weilenmann, Franz Pöll			Johann Jakob Weilenmann, Franz Pöll		Wikipedia
item_28	Event on Grand Cornier 	Grand Cornier	FALSE		Silver age of alpinism		First absolute ascent			16/06/1865	1865	Edward Whymper, Christian Almer, Michel Croz, Franz Biner			Edward Whymper, Christian Almer, Michel Croz, Franz Biner		Wikipedia
item_29	Event on La Ruinette 	La Ruinette	FALSE		Silver age of alpinism		First absolute ascent			6 luglio1865	1865	Edward Whymper	Christian Almer, Franz Biner		Edward Whymper, Christian Almer, Franz Biner		Wikipedia
item_30	Event on Lasörling 	Lasörling	FALSE		Golden age of alpinism		First absolute ascent			1861	1861	Karl von Sonklar			Karl von Sonklar		Wikipedia
item_31	Event on Mont Blanc de Cheilon 	Mont Blanc de Cheilon	FALSE		Silver age of alpinism		First absolute ascent			11 settembre 1865	1865	Johann Jakob Weilenmann, Justin Felley			Johann Jakob Weilenmann, Justin Felley		Wikipedia
item_32	Event on Mont Pourri 	Mont Pourri	FALSE		Golden age of alpinism		First absolute ascent			4 ottobre1861	1861	Michel Croz		France	Michel Croz		Wikipedia Table
item_33	Event on Monte Caplone 	Monte Caplone	FALSE				First absolute ascent			12/04/1903	1903	Hans Reinl	torrione a Cima Büs de Balì		Hans Reinl, torrione a Cima Büs de Balì		Wikipedia
item_34	Event on Palla Bianca 	Palla Bianca	FALSE				First absolute ascent			1850	1850	Josef Anton Specht, Leander Klotz e Nicodem Klotz			Josef Anton Specht, Leander Klotz e Nicodem Klotz		Wikipedia
item_35	Event on Parseierspitze 	Parseierspitze	FALSE		Silver age of alpinism		First absolute ascent			1869	1869	Joseph Anton Specht, Peter Siess			Joseph Anton Specht, Peter Siess		Wikipedia
item_36	Event on Piz Bacun 	Piz Bacun	FALSE				First absolute ascent			1883	1883	Theodor Curtius, Christian Klucker, Johann Eggenberger			Theodor Curtius, Christian Klucker, Johann Eggenberger		Wikipedia
item_37	Event on Piz Buin 	Piz Buin	FALSE		Silver age of alpinism		First absolute ascent			14 Jul 1865	1865	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll		Austria, Switzerland	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll	Erschliessung 2, 10-12	Wikipedia, Wikipedia Table
item_38	Event on Pizzi Gemelli 	Pizzi Gemelli	FALSE				First absolute ascent			9 giugno 1892	1892	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker		Wikipedia
item_39	Event on Punta Sulè 	Punta Sulè	FALSE		Silver age of alpinism		First absolute ascent			16 agosto 1880	1880	Filippo Vallino			Filippo Vallino	G.Berutto, Valli di Lanzo e Moncenisio, Istituto Geografico Centrale, 1996.	Wikipedia
item_40	Event on Punta Whymper 	Punta Whymper	FALSE		Silver age of alpinism		First absolute ascent			24 giugno 1865	1865	Edward Whymper	Michel Croz, Christian Almer, Franz Biner		Edward Whymper, Michel Croz, Christian Almer, Franz Biner		Wikipedia
item_41	Event on Sciora di Fuori 	Sciora di Fuori	FALSE				First absolute ascent			6 luglio 1892	1892	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker		Wikipedia
item_42	Event on Sustenhorn 	Sustenhorn	FALSE				First absolute ascent			7 agosto 1841	1841	Gottlieb Samuel Studer			Gottlieb Samuel Studer		Wikipedia
item_43	Event on Wildhorn 	Wildhorn	FALSE				First absolute ascent			settembre 1843	1843	Gottlieb Samuel Studer			Gottlieb Samuel Studer		Wikipedia
item_44	Event on Grand Nomenon 	Grand Nomenon	FALSE		Silver age of alpinism		First absolute ascent			25/06/1877	1877	Felice Montaldo, Antonio Boggiatto, Antonio Castagneri			Felice Montaldo, Antonio Boggiatto, Antonio Castagneri		Wikipedia
item_45	Event on Adula 	Adula	FALSE				First absolute ascent			01/06/1789	1789	Placidus a Spescha			Placidus a Spescha		Wikipedia
item_46	Event on Angerstein 	Angerstein	FALSE				First absolute ascent			28 ottobre 1888	1888	Ludwig Purtscheller			Ludwig Purtscheller		Wikipedia
item_47	Event on Becco Alto d'Ischiator 	Becco Alto d'Ischiator	FALSE				First absolute ascent			28 giugno1890	1890	Ludwig Purtscheller			Ludwig Purtscheller		Wikipedia
item_48	Event on Cima di Valmora (E) 	Cima di Valmora (E)	FALSE				First absolute ascent			1948	1948	Leone Pellicioli			Leone Pellicioli		Wikipedia
item_49	Event on Flachkogel Niederer 	Flachkogel Niederer	FALSE				First absolute ascent			28/10/1888	1888	Ludwig Purtscheller			Ludwig Purtscheller		Wikipedia
item_50	Event on Grande Roise 	Grande Roise	FALSE				First absolute ascent			17 luglio 1875[1]	5[1]	Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel			Albin Lucat, Angelo Decaroli, Jean-Antoine Carrel		Wikipedia
item_51	Event on Jôf Fuârt 	Jôf Fuârt	FALSE				First absolute ascent			1891	1891	Julius Kugy			Julius Kugy		Wikipedia
item_52	Event on Kanjavec 	Kanjavec	FALSE		Silver age of alpinism		First absolute ascent			18 agosto1877	1877	Julius Kugy			Julius Kugy		Wikipedia
item_53	Event on Monte Coglians 	Monte Coglians	FALSE		Silver age of alpinism		First absolute ascent			30 settembre1865	1865	Paul Grohmann			Paul Grohmann		Wikipedia
item_54	Event on Piz Terri 	Piz Terri	FALSE				First absolute ascent			1798	1798	Placidus a Spescha			Placidus a Spescha		Wikipedia
item_55	Event on Tour Real 	Tour Real	FALSE				First absolute ascent			19 settembre 1899	1899	Michele Celestino Bes			Michele Celestino Bes		Wikipedia
item_56	Event on Visolotto 	Visolotto	FALSE		Silver age of alpinism		First absolute ascent			4 settembre1875	1875	Felice Montaldo, Antonio Castagneri, Francesco Perotti			Felice Montaldo, Antonio Castagneri, Francesco Perotti		Wikipedia
item_57	Event on Adamello (monte) 	Adamello (monte)	FALSE		Golden age of alpinism		First absolute ascent			15/09/1864	1864	Julius von Payer	Giovanni Caturani	Austria	Julius von Payer, Giovanni Caturani		Wikipedia, Wikipedia Table
item_58	Event on Aiguille de Chambeyron 	Aiguille de Chambeyron	FALSE		Silver age of alpinism		First absolute ascent			28/07/1879	1879	William Auguste Coolidge, Christian Almer, Ulrich Almer			William Auguste Coolidge, Christian Almer, Ulrich Almer	Michelangelo Bruno, Monte Viso, Alpi Cozie Meridionali, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1987.	Wikipedia
item_59	Event on Aiguille du Moine 	Aiguille du Moine	FALSE		Silver age of alpinism		First absolute ascent			22 settembre 1871	1871	Isabella Straton, Emmeline Lewis Lloyd	Joseph Simond, Jean-Estéril Charlet		Isabella Straton, Emmeline Lewis Lloyd, Joseph Simond, Jean-Estéril Charlet		Wikipedia
item_60	Event on Aiguille du Plan 	Aiguille du Plan	FALSE		Silver age of alpinism		First absolute ascent			1871	1871	James Eccles	Alphonse Payot, Michel-Clément Payot		James Eccles, Alphonse Payot, Michel-Clément Payot		Wikipedia
item_61	Event on Aiguilles Septentrionale d'Arves 	Aiguilles Septentrionale d'Arves	FALSE				First absolute ascent			2 Sep 1839	1839	Pierre Alexis Magnin, Benoît Nicolas Magnin		France	Pierre Alexis Magnin, Benoît Nicolas Magnin	Benoît Nicolas Magnin, The Ascent of the Central Aiguille d'Arves, AJ, Volume 18, 1895, pp 165-8.	Wikipedia Table
item_62	Event on Aiguilles Centrale d'Arves 	Aiguilles Centrale d'Arves	FALSE				First absolute ascent			1878	1878	William Auguste Coolidge			William Auguste Coolidge		Wikipedia
item_63	Event on Aiguilles de Trélatête 	Aiguilles de Trélatête	FALSE		Golden age of alpinism		First absolute ascent			12 luglio 1864	1864	Anthony Adams Reilly, Edward Whymper	Michel Croz, Michel-Clément Payot, Henri Charlet	France, Switzerland, England	Anthony Adams Reilly, Edward Whymper, Michel Croz, Michel-Clément Payot, Henri Charlet	F. F. Tuckett (1862) The Ascent of the Aletschhorn in Peaks, Passes, and Glaciers, pp. 33-72	Wikipedia, Wikipedia Table
item_64	Event on Aiguilles Dorées 	Aiguilles Dorées	FALSE				First absolute ascent			30 agosto 1892	1892	Valère Alfred Fynne William J. Murphy			Valère Alfred Fynne William J. Murphy		Wikipedia
item_65	Event on Ailefroide 	Ailefroide	FALSE		Silver age of alpinism		First absolute ascent			7 luglio1870	1870	William Auguste Coolidge, Christian Almer, Ulrich Almer		Switzerland, America	William Auguste Coolidge, Christian Almer, Ulrich Almer		Wikipedia, Wikipedia Table
item_66	Event on Aletschhorn 	Aletschhorn	FALSE		Golden age of alpinism		First absolute ascent			18 giugno 1859	1859	Francis Fox Tuckett	Johann Joseph Bennen, Peter Bohren, Vistor Tairraz		Francis Fox Tuckett, Johann Joseph Bennen, Peter Bohren, Vistor Tairraz		Wikipedia
