Name	Type	Note	Date	Year	Alpinist	Guide	Expedition_members	Reference	latitude	longitude	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Becca di Gay	First absolute ascent		14 giugno 1875	1875	Luigi Vaccarone, P. Palestrino, Antonio Castagneri, Antonio Boggiatto, G. Bricco		Luigi Vaccarone, P. Palestrino, Antonio Castagneri, Antonio Boggiatto, G. Bricco	Emanuele Andreis, Renato Chabod e Mario C. Santi, Gran Paradiso, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	45.514317	7.321222	3500	3621	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo Roccia Viva-Apostoli	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo Roccia Viva-Apostoli	I/B-7.IV-A.2.b
Levanne	First absolute ascent		17 agosto1875	1875	Antonio Gramaglia, Luigi Vaccarone		Antonio Gramaglia, Luigi Vaccarone		45.406111	7.184444	3500	3619	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Levanne-Aiguille Rousse > Gruppo delle Levanne > Nodo delle Levanne	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Levanne-Aiguille Rousse	Gruppo delle Levanne	Nodo delle Levanne	I/B-7.I-C.8.a
Pic de la Grave	First absolute ascent		14 luglio 1874	1874	William Auguste Coolidge, Christian Almer, R. Kauffman		William Auguste Coolidge, Christian Almer, R. Kauffman		44.995701	6.253839	3500	3667	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio degli Écrins > Catena Meije-Râteau-Soreiller > Gruppo del Râteau > Catena Grave-Lauze-Jandri	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio degli Écrins	Catena Meije-Râteau-Soreiller	Gruppo del Râteau	Catena Grave-Lauze-Jandri	I/A-5.III-B.8.b
Averau	First absolute ascent		10 agosto 1874	1874	Santo Siorpaes, R. Issler		Santo Siorpaes, R. Issler		46.5018	12.0397	2500	2647	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Nuvolau > Dorsale del Nuvolau	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Nuvolau	Dorsale del Nuvolau	II/C-31.I-D.16.a
Mont Aiguille	First absolute ascent		1492	1492	Antoine de Ville		Antoine de Ville		44.842025	5.55251	2000	2087	Alpi Occidentali > Alpi Sud-occidentali > Prealpi del Delfinato > Prealpi del Vercors > Catena Grand Veymont-Lans-Charande > Gruppo del Mont Aiguille > Cresta Mont Aiguille-Montagnette	Alpi Occidentali	Alpi Sud-occidentali	Prealpi del Delfinato	Prealpi del Vercors	Catena Grand Veymont-Lans-Charande	Gruppo del Mont Aiguille	Cresta Mont Aiguille-Montagnette	I/A-6.III-A.1.b
Carè Alto	First absolute ascent		08/08/1865	1865	S.T. Taylor, Hugh de Fellenberg Montgomery		S.T. Taylor, Hugh de Fellenberg Montgomery		46.108056	10.596111	3000	3465	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Adamello e della Presanella > Gruppo dell'Adamello > Catena Carè Alto-Breguzzo > Gruppo del Carè Alto	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Adamello e della Presanella	Gruppo dell'Adamello	Catena Carè Alto-Breguzzo	Gruppo del Carè Alto	II/C-28.III-A.3.a
Aiguille du Goûter	First absolute ascent		prima del 1784	1784	François Cuidet, François Gervais		François Cuidet, François Gervais	Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963, ISBN 88-365-0063-3.	45.850556	6.831111	3500	3863	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo Bionnassay-Goûter	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo Bionnassay-Goûter	I/B-7.V-B.2.a
Aiguille du Jardin	First absolute ascent		1 agosto1904	1904	E. Fontaine	Jean Ravanel, Léon Tournier	E. Fontaine, Jean Ravanel, Léon Tournier		45.933889	6.975833	4000	4035	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena dell'Aiguille Verte > Gruppo Aiguille Verte-Aiguilles du Dru	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena dell'Aiguille Verte	Gruppo Aiguille Verte-Aiguilles du Dru	I/B-7.V-B.5.c/a
Aiguille du Midi	First absolute ascent		4 agosto1818	1818	Antoni Malczewski, Jean-Michel Balmat	altre cinqueguide	Antoni Malczewski, Jean-Michel Balmat, altre cinqueguide		45.878889	6.888333	3500	3842	Alpi Occidentali > Alpi nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Guglie di Chamonix > Gruppo dell'Aiguille du Midi	Alpi Occidentali	Alpi nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Guglie di Chamonix	Gruppo dell'Aiguille du Midi	I/B-7.V-B.3.a
Brana (monte)	First absolute ascent		1875	1875	Anton Bauer, J.Seidl		Anton Bauer, J.Seidl		46.354906	14.587556	2000	2259	Alpi Orientali > Alpi Sud-orientali > Alpi di Carinzia e di Slovenia > Alpi di Kamnik e della Savinja >  >  > 	Alpi Orientali	Alpi Sud-orientali	Alpi di Carinzia e di Slovenia	Alpi di Kamnik e della Savinja				
