Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long
La formica argentina	Sanremo	paese	Aperto > Urbano > Paese					42651	43.8198253,7.7748827
La speculazione edilizia	Liguria	città	Aperto > Urbano > Città			Una città non specificata in Liguria		301482	44.4777617,8.7026296
La nuvola di smog	Torino	città	Aperto > Urbano > Città					43992	45.0677551,7.6824892
Marcovaldo ovvero Le stagioni in città	Torino	città	Aperto > Urbano > Città					43992	45.0677551,7.6824892
L'iguana	Isola di Ocaña	mare	Aperto > Naturale > Acquatico > Mare						38.7200, -24.2200
Cladonia rapida	Torino	città	Aperto > Urbano > Città					43992	45.0677551,7.6824892
Pieno impiego	Torino	campagna	Aperto > Naturale > Rurale > Campagna					43992	45.0677551,7.6824892
Protezione	Torino	interno	Chiuso > Edificio					43992	45.0677551,7.6824892
Verso occidente	Rio delle Amazzoni	bosco	Aperto > Naturale > Arboreo > Bosco					172122662	0.1865944,-50.7348369
Verso occidente	Europa non specificato	bosco, mare	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Mare						
Recuenco - La nutrice	Non specificato (forse Sud America?)	montagna	Aperto > Naturale > Rilievo > Montagna						38.7200, -24.2200
Recuenco - Il rafter	Non specificato (forse Sud America?)	interno	Chiuso > Edificio						38.7200, -24.220
Paese d'ombre	Villacidro	campagna, paese, bosco	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco					39919	39.4569925,8.7367219
Dissipatio H.G.	Zurigo 	città, montagna, paese	Aperto > Urbano > Città; Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese			Crispoli		1682248	47.3744489,8.5410422
Dissipatio H.G.	Widmad								38.7200, -24.2200
Dissipatio H.G.	Lewrosen								38.7200, -24.220
Visto da Seveso	Seveso	città	Aperto > Urbano > Città					45608	45.6434655,9.1373787
Una lepre con la faccia di bambina	Seveso	città	Aperto > Urbano > Città					45608	45.6434655,9.1373787
Il re del magazzino	Campagna lombarda intorno al fiume Lambro 	campagna, paese, pianura, fiume	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Irriguo > Pianura; Aperto > Naturale > Acquatico > Fiume					570545	45.5302185,9.2659323
Il superstite	Maremma Toscana	campagna, paese, pianura	Aperto > Naturale > Rurale > Campagna; Aperto > Urbano > Paese; Aperto > Naturale > Irriguo > Pianura			Campagna toscana ma tutta l’Italia è coinvolta dall’apocalisse		4279861	42.6303496,11.1095079
Il pianeta irritabile	Terra	città, campagna	Aperto > Urbano > Città; Aperto > Naturale > Rurale > Campagna					267187327	34.9656724,32.4248003
Il paradiso degli animali	Alta Maremma	pianura	Aperto > Naturale > Irriguo > Pianura						
Uomini, boschi e api	Hindenburg	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume					3641174	52.7533929,11.9288673
Uomini, boschi e api	Roccia del Piandot	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume						
Uomini, boschi e api	Sasso della Campanula	montagna, pianura, paese, bosco, fiume	Aperto > Naturale > Rilievo > Montagna; Aperto > Naturale > Irriguo > Pianura; Aperto > Urbano > Paese; Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Acquatico > Fiume						
