ID_opera	Anno	Autore	Titolo	Parte di	Editore	Genere	Descrizione Ecocritica	Approccio all'interpretazione degli spazi	Inserito da	In data
1	1952	Italo Calvino	La formica argentina		Botteghe Oscure	Fiction > Racconto	La formica argentina è una riflessione acuta sulla relazione disfunzionale tra essere umano e ambiente. Il protagonista, trasferitosi con la famiglia in una nuova casa, si trova a combattere una misteriosa e inarrestabile invasione di formiche argentine. Questo scenario apparentemente domestico diventa allegoria di un sistema ecologico alterato, dove l’uomo, anziché comprendere o adattarsi all’ambiente, tenta invano di dominarlo attraverso soluzioni tecnologiche e burocratiche inefficaci.	Interpretato dallo studioso	Marzia	
2	1957	Italo Calvino	La speculazione edilizia		Botteghe Oscure			Interpretato dallo studioso	Marzia	
3	1958	Italo Calvino	La nuvola di smog		Nuovi Argomenti			Interpretato dallo studioso	Marzia	
4	1963	Italo Calvino	Marcovaldo ovvero Le stagioni in città		Einaudi			Interpretato dallo studioso	Marzia	
5	1965	Anna Maria Ortese	L'iguana		Vallecchi, poi Adelphi			Specificato nel testo		
6	1966	Primo Levi	Storie naturali		Einaudi				Marzia	
7	1966	Primo Levi	"Cladonia rapida"	Storie naturali	Einaudi			Specificato nel testo	Marzia	
8	1966	Primo Levi	Pieno impiego	Storie naturali	Einaudi			Interpretato dallo studioso	Marzia	
9	1971	Primo Levi	Vizio di forma		Einaudi				Marzia	
10	1971	Primo Levi	Protezione	Vizio di forma	Einaudi			Interpretato dallo studioso	Marzia	
11	1971	Primo Levi	Verso occidente	Vizio di forma	Einaudi			Interpretato dallo studioso	Marzia	
12	1971	Primo Levi	Recuenco - La nutrice	Vizio di forma	Einaudi			Interpretato dallo studioso	Marzia	
13	1971	Primo Levi	Recuenco - Il rafter	Vizio di forma	Einaudi			Interpretato dallo studioso	Marzia	
14	1972	Giuseppe Dessì	Paese d'ombre		Mondadori			Interpretato dallo studioso	Marzia	
15	1977	Guido Morselli	Dissipatio H.G.		Rizzoli			Specificato nel testo	Lavinia	
16	1977	Laura Conti	Visto da Seveso		Feltrinelli			Specificato nel testo	Lavinia	
17	1978	Laura Conti	Una lepre con la faccia di bambina		Editori Riuniti			Specificato nel testo	Lavinia	
18	1978	Antonio Porta	Il re del magazzino		Mondadori (poi Lampi di stampa)			Interpretato dallo studioso	Lavinia	
19	1978	Carlo Cassola	Il superstite		Rizzoli			Specificato nel testo	Lavinia	
20	1978	Paolo Volponi	Il pianeta irritabile		Einaudi			Interpretato dallo studioso	Lavinia	
21	1979	Carlo Cassola	Il paradiso degli animali		Rizzoli			Specificato nel testo	Lavinia	
22	1980	Mario Rigoni Stern	Uomini, boschi e api		Einaudi			Specificato nel testo	Lavinia	
23	1980	Carlo Cassola	Ferragosto di morte 		Rizzoli			Specificato nel testo	Lavinia	
24	1986	Carlo Cassola	Il mondo senza nessuno		Ciminiera			Specificato nel testo	Lavinia	
25	1986	Luigi Meneghello	L'acqua di Malo		Lubrina			Specificato nel testo	Lavinia	
26	1987	Anna Maria Ortese	La casa nel bosco	In sonno e in veglia	Adelphi			Interpretato dallo studioso	Lavinia	
27	1990	Mario Rigoni Stern	Il libro degli animali		Einaudi			Specificato nel testo	Lavinia	
28	1991	Mario Rigoni Stern	Arboreto selvatico		Einaudi			Specificato nel testo		
29	1998	Mario Rigoni Stern	Sentieri sotto la neve		Einaudi			Specificato nel testo	Lavinia	
30	2002	Vitaliano Trevisan	I quindicimila passi		Einaudi			Specificato nel testo	Lavinia	
31	2006	Roberto Saviano	Gomorra		Einaudi			Specificato nel testo	Lavinia	
32	2007	Laura Pugno	Sirene		Einaudi			Specificato nel testo	Lavinia	
33	2009	Giorgio Falco	L'ubicazione del bene		Einaudi			Specificato nel testo	Lavinia	
34	2010	Paolo Zanotti	Bambini bonsai		Ponte alle Grazie				Marzia	
35	2010	Tommaso Pincio	Cinacittà		Einaudi			Specificato nel testo	Lavinia	
36	2011	Vincenzo Pardini	Il viaggio dell'orsa		Fandango				Lorenzo	
37	2012	Alessandra Sarchi	Violazione		Einaudi				Lorenzo	
38	2013	Antonella Anedda	Isolatria		Laterza			Specificato nel testo	Lavinia	
39	2013	Francesco Pecoraro	La vita in tempo di pace		Ponte alle Grazie			Interpretato dallo studioso	Lavinia	
40	2013	Antonio Moresco	La lucina		Feltrinelli				Lorenzo	
41	2014	Giorgio Falco	Condominio oltremare		L'orma			Specificato nel testo	Lavinia	
42	2015	Niccolò Ammaniti	Anna		Einaudi			Specificato nel testo	Marzia	
43	2015	Carmen Pellegrino	Cade la terra		Giunti			Interpretato dallo studioso	Lorenzo	
44	2015	Luca Doninelli	Le cose semplici		Bompiani			Specificato nel testo	Lorenzo	
45	2016	Bruno Arpaia	Qualcosa, là fuori		Guanda				Marzia	
46	2016	Paolo Cognetti	Le otto montagne		Einaudi				Marzia	
47	2016	Matteo Meschiari	Artico nero. La lunga notte dei popoli dei ghiacci		Exorma			Specificato nel testo	Lorenzo	
48	2018	Violetta Bellocchio	La festa nera		Chiarelettere				Marzia	
49	2018	Paolo Giordano	Divorare il cielo		Einaudi				Lorenzo	
50	2019	Leonardo Luccone	La casa mangia le parole		Ponte alle Grazie				Lorenzo	
51	2019	Gian Mario Villalta	L'olmo grande		Aboca				Lorenzo	
52	2019	Enrico Brizzi	Una notte sull'alpe della luna		Aboca				Lorenzo	
53	2019	Carmine Abate	L'albero della fortuna		Aboca				Lorenzo	
54	2019	Alberto Garlini	Il fico di Betania		Aboca			Specificato nel testo	Lorenzo	
55	2019	Ferruccio Parazzoli	La colomba sul pino e la vecchia sotto il fico		Aboca				Lorenzo	
56	2020	Antonio Moresco	Canto degli alberi		Aboca			Specificato nel testo	Lavinia	
57	2020	Filelfo	L'assemblea degli animali		Einaudi				Lorenzo	
58	2020	Federica Manzon	Il bosco del confine		Aboca				Lorenzo	
59	2020	Luca Doninelli	L'imitazione di una foglia che cade		Aboca				Lorenzo	
60	2021	Alessandro Broggi	Noi		Tic				Lorenzo	
61	2021	Chiara Mezzalama	Dopo la pioggia		e/o				Lorenzo	
62	2021	Gian Luca Favetto	Bjula della betulle		Aboca				Lorenzo	
63	2021	Lorenzo Marone	Il bosco di là		Aboca				Lorenzo	
64	2021	Laura Bosio	Erba matta		Aboca				Lorenzo	
