Anno	Autore	Titolo	Parte di	Editore	Tipologia del luogo	Spazi geografici	Contenuti ecocritici	Descrizione dei contenuti ecocritici	lat_long	Tipo ambientazione temporale	Data di ambientazione	Approccio all'interpretazione degli spazi	Inserito da	In data
1952	Italo Calvino	La formica argentina		Botteghe Oscure	paese	Sanremo			43.8159671,7.7760567			Interpretato dallo studioso	Marzia	
1957	Italo Calvino	La speculazione edilizia		Botteghe Oscure	città	Liguria			44.419658,8.5281613			Interpretato dallo studioso	Marzia	
1958	Italo Calvino	La nuvola di smog		Nuovi Argomenti	città	Torino			45.0703155,7.6868552			Interpretato dallo studioso	Marzia	
1963	Italo Calvino	Marcovaldo ovvero Le stagioni in città		Einaudi	città	Torino			45.0703155,7.6868552			Interpretato dallo studioso	Marzia	
1965	Anna Maria Ortese	L'iguana		Vallecchi, poi Adelphi	mare	Isola di Ocana						Specificato nel testo		
1966	Primo Levi	Storie naturali		Einaudi									Marzia	
1966	Primo Levi	"Cladonia rapida"	Storie naturali	Einaudi	città	Torino			45.0703155,7.6868552			Specificato nel testo	Marzia	
1966	Primo Levi	Pieno impiego	Storie naturali	Einaudi	campagna	Torino			45.0703155,7.6868552			Interpretato dallo studioso	Marzia	
1971	Primo Levi	Vizio di forma		Einaudi									Marzia	
1971	Primo Levi	Protezione	Vizio di forma	Einaudi	interno	Torino			45.0703155,7.6868552			Interpretato dallo studioso	Marzia	
1971	Primo Levi	Verso occidente	Vizio di forma	Einaudi	bosco, mare	Rio delle Amazzoni; Europa non specificato			-1.644128149,-61.65994439 48.69096,9.14062			Interpretato dallo studioso	Marzia	
1971	Primo Levi	Recuenco - La nutrice	Vizio di forma	Einaudi	montagna	Non specificato (forse Sud America?)			-14.60485,-57.65625			Interpretato dallo studioso	Marzia	
1971	Primo Levi	Recuenco - Il rafter	Vizio di forma	Einaudi	interno	Non specificato (forse Sud America?)			-14.60485,-57.65625			Interpretato dallo studioso	Marzia	
1972	Giuseppe Dessì	Paese d'ombre		Mondadori	campagna, paese, bosco	Villacidro			39.4583572,8.7394054 			Interpretato dallo studioso	Marzia	
1977	Guido Morselli	Dissipatio H.G.		Rizzoli	città, montagna, paese	Crisopoli (Zurigo); Widmad; Lewrosen 						Specificato nel testo	Lavinia	
1977	Laura Conti	Visto da Seveso		Feltrinelli	città	Seveso			45.6500675,9.1439272			Specificato nel testo	Lavinia	
1978	Laura Conti	Una lepre con la faccia di bambina		Editori Riuniti	città	Seveso			45.6500675,9.1439272			Specificato nel testo	Lavinia	
1978	Antonio Porta	Il re del magazzino		Mondadori (poi Lampi di stampa)	campagna, paese, pianura, fiume	Campagna lombarda intorno al fiume Lambro 			45.13333, 9.53333			Interpretato dallo studioso	Lavinia	
1978	Carlo Cassola	Il superstite		Rizzoli	campagna, paese, collina, pianura	Firenze; Pisa; Cecina; Volterra; Maremma Toscana			43.5671153,10.9807003			Specificato nel testo	Lavinia	
1978	Paolo Volponi	Il pianeta irritabile		Einaudi	città, campagna	Terra						Interpretato dallo studioso	Lavinia	
1979	Carlo Cassola	Il paradiso degli animali		Rizzoli	pianura	Alta Maremma			43.5924,10.46271			Specificato nel testo	Lavinia	
1980	Mario Rigoni Stern	Uomini, boschi e api		Einaudi	montagna, pianura, paese, bosco, fiume	Altipiano di Asiago; Hindenburg; Roccia del Piandot; Sasso della Campanula; Klagenfurt; Gorizia (ma tutti i toponimi sono nella stessa zona...)			45.8973524,11.4995992			Specificato nel testo	Lavinia	
1980	Carlo Cassola	Ferragosto di morte 		Rizzoli	città, paese, campagna	Firenze; Pisa; Cecina; Volterra; Maremma Toscana			43.5671153,10.9807003			Specificato nel testo	Lavinia	
1986	Carlo Cassola	Il mondo senza nessuno		Ciminiera	paese, città, campagna, collina	Firenze; Pisa; Cecina; Volterra; Maremma Toscana			43.5671153,10.9807003			Specificato nel testo	Lavinia	
1986	Luigi Meneghello	L'acqua di Malo		Lubrina	paese, fiume, bosco, campagna	Malo 			48.64738,-2.00877			Specificato nel testo	Lavinia	
1987	Anna Maria Ortese	La casa nel bosco	In sonno e in veglia	Adelphi	interno, paese, bosco	Italia, sicuramente, forse Campania? Sicuramente non Roma						Interpretato dallo studioso	Lavinia	
1990	Mario Rigoni Stern	Il libro degli animali		Einaudi	montagna, bosco, fiume	Altipiano di Asiago			45.8973524,11.4995992			Specificato nel testo	Lavinia	
1991	Mario Rigoni Stern	Arboreto selvatico		Einaudi	paese, montagna, pianura, bosco	Altipiano di Asiago			45.8973524,11.4995992			Specificato nel testo		
1998	Mario Rigoni Stern	Sentieri sotto la neve		Einaudi	montagna, paese, bosco, pianura	Altipiano di Asiago			45.8973524,11.4995992			Specificato nel testo	Lavinia	
2002	Vitaliano Trevisan	I quindicimila passi		Einaudi	città, bosco	Vicenza			45.54672,11.5475			Specificato nel testo	Lavinia	
2006	Roberto Saviano	Gomorra		Einaudi	paese, città	Napoli; Aberdeen; Caserta; Casal di Principe, San Cipriano d'Aversa; Casapesenna						Specificato nel testo	Lavinia	
2007	Laura Pugno	Sirene		Einaudi	città, mare	nuova baja california						Specificato nel testo	Lavinia	
2009	Giorgio Falco	L'ubicazione del bene		Einaudi	città	Cortesforza (inventato) nell'hinterland milanese						Specificato nel testo	Lavinia	
2010	Paolo Zanotti	Bambini bonsai		Ponte alle Grazie	città, interno	Genova			44.40478,8.94439				Marzia	
2010	Tommaso Pincio	Cinacittà		Einaudi	città	Roma			41.89193,12.51133			Specificato nel testo	Lavinia	
2011	Vincenzo Pardini	Il viaggio dell'orsa		Fandango									Lorenzo	
2012	Alessandra Sarchi	Violazione		Einaudi	città, campagna	Bologna			44.49381,11.33875				Lorenzo	
2013	Antonella Anedda	Isolatria		Laterza	mare	Arcipelago de La Maddalena			41.23333,9.4			Specificato nel testo	Lavinia	
2013	Francesco Pecoraro	La vita in tempo di pace		Ponte alle Grazie	città, mare, fiume, interno	Roma; Sharm el Sheik; Milano; mar egeo (capo atreide, lago di kalamia); Atene			41.8967068,12.4822025 27.9654198,34.3617769 45.468503,9.1824027 39.00000,25.00000 37.9838096,23.7275388			Interpretato dallo studioso	Lavinia	
2013	Antonio Moresco	La lucina		Feltrinelli	montagna								Lorenzo	
2014	Giorgio Falco	Condominio oltremare		L'orma	mare, città	Rimini; riviera romagnola; Cervia; Lido delle Nazioni a Comacchio; Lago delle Nazioni						Specificato nel testo	Lavinia	
2015	Niccolò Ammaniti	Anna		Einaudi	campagna, città, mare	Palermo; Torre Normanna; Cefalù; Messina						Specificato nel testo	Marzia	
2015	Carmen Pellegrino	Cade la terra		Giunti	paese	Alento (inventato); Italia meridionale						Interpretato dallo studioso	Lorenzo	
2015	Luca Doninelli	Le cose semplici		Bompiani	città	Milano; Parigi; New York; Long Island						Specificato nel testo	Lorenzo	
2016	Bruno Arpaia	Qualcosa, là fuori		Guanda	pianura, montagna, mare	Napoli; San Francisco; Chignolo; Lodi; Milano; Como; Lugano; Kriessern; lago di Costanza; Bregenz; Ulm; Elchingen; Wurzburg; Walldorf; Gottinga; Hannover; Bergen-Belsen; Wilseder Berg; Bleckede; Wulfsen; Radbruch; Handorf; Ratzeburg; Teschow; Kaseberga							Marzia	
2016	Paolo Cognetti	Le otto montagne		Einaudi	montagna	Milano; Grana (BG); Katmandu; Himalaya							Marzia	
2016	Matteo Meschiari	Artico nero. La lunga notte dei popoli dei ghiacci		Exorma	mare	Čukotka; Alaska; Canada; Norvegia; Siberia; Groenlandia						Specificato nel testo	Lorenzo	
2018	Violetta Bellocchio	La festa nera		Chiarelettere									Marzia	
2018	Paolo Giordano	Divorare il cielo		Einaudi	campagna	Speziale			40.79081,17.45848				Lorenzo	
2019	Leonardo Luccone	La casa mangia le parole		Ponte alle grazie	città	Roma			41.89193,12.51133				Lorenzo	
2019	Gian Mario Villalta	L'olmo grande		Aboca	campagna	Friuli			46,13				Lorenzo	
2019	Enrico Brizzi	Una notte sull'alpe della luna		Aboca	montagna	Appennino			44.31844,10.24063				Lorenzo	
2019	Carmine Abate	L'albero della fortuna		Aboca	paese	Calabria			38.11047,15.66129				Lorenzo	
2019	Alberto Garlini	Il fico di Betania		Aboca	città	Palestina			31.92157,35.20329			Specificato nel testo	Lorenzo	
2019	Ferruccio Parazzoli	La colomba sul pino e la vecchia sotto il fico		Aboca	città, bosco	Liguria; Lambrate			44.419658,8.5281613 45.4838657,9.2512533				Lorenzo	
2020	Antonio Moresco	Canto degli alberi		Aboca	città	Mantova			45.1563425,10.7914387			Specificato nel testo	Lavinia	
2020	Filelfo	L'assemblea degli animali		Einaudi	bosco								Lorenzo	
2020	Federica Manzon	Il bosco del confine		Aboca	bosco	Carso; Balcani							Lorenzo	
2020	Luca Doninelli	L'imitazione di una foglia che cade		Aboca									Lorenzo	
2021	Alessandro Broggi	Noi		Tic									Lorenzo	
2021	Chiara Mezzalama	Dopo la pioggia		e/o	città	Roma							Lorenzo	
2021	Gian Luca Favetto	Bjula della betulle		Aboca									Lorenzo	
2021	Lorenzo Marone	Il bosco di là		Aboca	bosco	Italia settentrionale							Lorenzo	
2021	Laura Bosio	Erba matta		Aboca	città								Lorenzo	
2021	Alessandro Zaccuri	La quercia di Bruegel		Aboca									Lorenzo	
2021	Giuseppe Lupo	Il pioppo del Sempione		Aboca									Lorenzo	
2022	Paolo Giordano	Tasmania		Einaudi									Lorenzo	
2022	Antonella Cilento	Solo di uomini il bosco può morire		Aboca	bosco	Foresta di Cuma							Lorenzo	
2022	Davide Rondoni	Il concerto del viale dei lecci		Aboca	città	Forlì							Lorenzo	
2023	Paolo Di Paolo	Romanzo senza umani		Feltrinelli									Marzia	
2023	Raffaella Romagnolo	Il cedro del Libano		Aboca									Lorenzo	
2023	Francesca Matteoni	Tundra e Peive		Nottetempo	città								Lorenzo	
2023	Michele Turazzi	Prima della rivolta		Nottetempo	città	Milano							Lorenzo	
2023	Paolo Rumiz	Una voce dal profondo		Feltrinelli		Italia							Lorenzo	
2023	Andrea Cassini	L'impronta		Zona42	bosco								Lorenzo	
2023	Daniele Rielli	Il fuoco invisibile. Storia umana di un disastro naturale		Aboca									Lorenzo	
2023	Franco Faggiani	La compagnia del gelso		Aboca									Lorenzo	
2023	Elena Loewenthal	All'ombra del ricino		Aboca									Lorenzo	
2023	Mario Fortunato	Vita immaginaria di un alloro		Aboca									Lorenzo	
2023	Mauro Garofalo	L'ultima foresta		Aboca	bosco, campagna	Foresta di Białowieża							Lorenzo	
2024	Nadia Terranova	Scintilla		Mondadori	bosco								Lorenzo	
