pivot_ID	event_name	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Reference	source
1	Croda dei Baranci	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			17 luglio1880	1880	Ludwig Grünwald, Santo Siorpaes			Ludwig Grünwald, Santo Siorpaes		Wikipedia
2	Becca di Montandayné	FALSE		Silver age of alpinism		First absolute ascent			1875	1875	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Italian	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Wikipedia
3	Cima dei Preti	FALSE		Silver age of alpinism		First absolute ascent			23 settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
4	Cimon del Froppa	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			19 agosto 1872	1872	Santo Siorpaes, William Edward Utterson-Kelso			Santo Siorpaes, William Edward Utterson-Kelso		Wikipedia
5	Creta Forata	FALSE				First absolute ascent			26 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
6	Croda Rossa d'Ampezzo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			20/06/1870	1870	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		English	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		Wikipedia
7	Gran Zebrù	FALSE		Golden age of alpinism		First absolute ascent			03/08/1864	1864	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton	guide tirolesi Michel e Biener	English	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton, guide tirolesi Michel e Biener		Wikipedia
8	Monte Duranno	FALSE		Silver age of alpinism		First absolute ascent			22 luglio 1874	1874	Santo Siorpaes, William Edward Utterson-Kelso		English	Santo Siorpaes, William Edward Utterson-Kelso		Wikipedia
9	Monte Popera	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent			settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
10	Monte Siera	FALSE				First absolute ascent			23 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
11	Monte Terza Grande	FALSE				First absolute ascent			25 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann		Wikipedia
12	Zinalrothorn	FALSE		Golden age of alpinism		First absolute ascent			22 agosto 1864	1864	Leslie Stephen, Florence Crauford Grove	Jakob Anderegg, Melchior Anderegg	Switzerland, England	Leslie Stephen, Florence Crauford Grove, Jakob Anderegg, Melchior Anderegg	Studer, Vol 2, pp. 257-9	Wikipedia, Wikipedia Table
13	Ago di Sciora	FALSE				First absolute ascent			04/06/1893	1893	Anton von Rydzewski	C. Klucker, Émile Rey		Anton von Rydzewski, C. Klucker, Émile Rey		Wikipedia
14	Aiguille d'Argentière	FALSE		Golden age of alpinism		First absolute ascent			15/07/1864	1864	Edward Whymper, Anthony Adams Reilly	Michel Croz, Michel-Clément Payot, Henri Charlet		Edward Whymper, Anthony Adams Reilly, Michel Croz, Michel-Clément Payot, Henri Charlet		Wikipedia
15	Aiguille de la Bérangère	FALSE		Golden age of alpinism		First absolute ascent			agosto 1858	1858	Théodore Hare	Delphin Fournereaux		Théodore Hare, Delphin Fournereaux	Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	Wikipedia
16	Aiguille de Rochefort	FALSE		Silver age of alpinism		First absolute ascent			14 agosto1873	1873	James Eccles	Alphons Payot, Michel-Clément Payot		James Eccles, Alphons Payot, Michel-Clément Payot	Renato Chabod, Lorenzo Grivel, Silvio Saglio e Gino Buscaini, Monte Bianco, vol. II, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1968.	Wikipedia
17	Aiguille Verte	FALSE		Silver age of alpinism		First absolute ascent			29/06/1865	1865	Edward Whymper, Christian Almer, Franz Biner		Switzerland, England	Edward Whymper, Christian Almer, Franz Biner		Wikipedia, Wikipedia Table
18	Ankogel	FALSE				First absolute ascent	Conflicting Hypotheses		1762	1762	Farmer Patschg		Austria	Farmer Patschg	Erschliessung 3, 247-8	Wikipedia Table
18	Ankogel	FALSE				First absolute ascent	Conflicting Hypotheses		1742	1742						Wikipedia
19	Bietschhorn	FALSE		Golden age of alpinism		First absolute ascent			13 agosto 1859	1859	Johann Siegen, Joseph Aebener, Leslie Stephen      		Switzerland, England	Johann Siegen, Joseph Aebener, Leslie Stephen      	Stephen misspelled his guides as "Zügler" and "Appener"; Studer, Vol 1, pp. 212-6	Wikipedia, Wikipedia Table
20	Bifertenstock	FALSE		Golden age of alpinism		First absolute ascent			7 settembre1863	1863						Wikipedia
21	Bric Bucie	FALSE		Silver age of alpinism		First absolute ascent			1876	1876						Wikipedia
22	Campo Tencia	FALSE		Silver age of alpinism		First absolute ascent			1867	1867	Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi	Peter Sulzere, Caveng		Gottlieb Samuel Studer, Wilhelm Lindt, F. Aebi, Peter Sulzere, Caveng		Wikipedia
23	Cima di Nasta	FALSE				First absolute ascent			1878	1878	Douglas William Freshfield			Douglas William Freshfield		Wikipedia
24	Cima Piazzi	FALSE		Silver age of alpinism		First absolute ascent			21 agosto 1867	1867	Johann Jacob Weilenmann, Franz Pöll, Santo Romani			Johann Jacob Weilenmann, Franz Pöll, Santo Romani		Wikipedia
25	Crast' Agüzza	FALSE		Silver age of alpinism		First absolute ascent		per la cresta ovest	17 luglio 1865	1865	Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner			Johann Jacob Weilenmann, Josef Anton Specht, Franz Pöll e Jakob Pfitschner		Wikipedia
26	Fluchthorn (Alpi Retiche occidentali)	FALSE		Golden age of alpinism		First absolute ascent			1862	1862	Johann Jakob Weilenmann, Franz Pöll			Johann Jakob Weilenmann, Franz Pöll		Wikipedia
27	Grand Cornier	FALSE		Silver age of alpinism		First absolute ascent			16/06/1865	1865	Edward Whymper, Christian Almer, Michel Croz, Franz Biner			Edward Whymper, Christian Almer, Michel Croz, Franz Biner		Wikipedia
28	La Ruinette	FALSE		Silver age of alpinism		First absolute ascent			6 luglio1865	1865	Edward Whymper	Christian Almer, Franz Biner		Edward Whymper, Christian Almer, Franz Biner		Wikipedia
29	Lasörling	FALSE		Golden age of alpinism		First absolute ascent			1861	1861	Karl von Sonklar			Karl von Sonklar		Wikipedia
30	Mont Blanc de Cheilon	FALSE		Silver age of alpinism		First absolute ascent			11 settembre 1865	1865	Johann Jakob Weilenmann, Justin Felley			Johann Jakob Weilenmann, Justin Felley		Wikipedia
31	Mont Pourri	FALSE		Golden age of alpinism		First absolute ascent			4 ottobre1861	1861	Michel Croz		France	Michel Croz		Wikipedia Table
32	Monte Caplone	FALSE				First absolute ascent			12/04/1903	1903	Hans Reinl	torrione a Cima Büs de Balì		Hans Reinl, torrione a Cima Büs de Balì		Wikipedia
33	Palla Bianca	FALSE				First absolute ascent			1850	1850	Josef Anton Specht, Leander Klotz e Nicodem Klotz			Josef Anton Specht, Leander Klotz e Nicodem Klotz		Wikipedia
34	Parseierspitze	FALSE		Silver age of alpinism		First absolute ascent			1869	1869	Joseph Anton Specht, Peter Siess			Joseph Anton Specht, Peter Siess		Wikipedia
35	Piz Bacun	FALSE				First absolute ascent			1883	1883	Theodor Curtius, Christian Klucker, Johann Eggenberger			Theodor Curtius, Christian Klucker, Johann Eggenberger		Wikipedia
36	Piz Buin	FALSE		Silver age of alpinism		First absolute ascent			14 Jul 1865	1865	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll		Austria, Switzerland	Josef Anton Specht, Johann Jacob Weilenmann, Jakob Pfitscher, Franz Pöll	Erschliessung 2, 10-12	Wikipedia, Wikipedia Table
37	Pizzi Gemelli	FALSE				First absolute ascent			9 giugno 1892	1892	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker		Wikipedia
38	Punta Sulè	FALSE		Silver age of alpinism		First absolute ascent			16 agosto 1880	1880	Filippo Vallino			Filippo Vallino	G.Berutto, Valli di Lanzo e Moncenisio, Istituto Geografico Centrale, 1996.	Wikipedia
39	Punta Whymper	FALSE		Silver age of alpinism		First absolute ascent			24 giugno 1865	1865	Edward Whymper	Michel Croz, Christian Almer, Franz Biner		Edward Whymper, Michel Croz, Christian Almer, Franz Biner		Wikipedia
40	Sciora di Fuori	FALSE				First absolute ascent			6 luglio 1892	1892	Anton von Rydzewski	Mansueto Barbaria, Christian Klucker		Anton von Rydzewski, Mansueto Barbaria, Christian Klucker		Wikipedia
41	Sustenhorn	FALSE				First absolute ascent			7 agosto 1841	1841	Gottlieb Samuel Studer			Gottlieb Samuel Studer		Wikipedia
42	Wildhorn	FALSE				First absolute ascent			settembre 1843	1843	Gottlieb Samuel Studer			Gottlieb Samuel Studer		Wikipedia
43	Grand Nomenon	FALSE		Silver age of alpinism		First absolute ascent			25/06/1877	1877	Felice Montaldo, Antonio Boggiatto, Antonio Castagneri			Felice Montaldo, Antonio Boggiatto, Antonio Castagneri		Wikipedia
