pivot_ID	Item_Name	Location	in_evidence	in_evidence_description	storytelling_path	storytelling_path_description	Type	Event_description	Dispute	Note	Date	Year	Alpinist	Guide	Nationality	Expedition_members	Fonti_primarie	Fonti_secondarie	source
item_1	Prima ascensione assoluta: Croda dei Baranci 	Croda dei Baranci	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent	La Croda dei Baranci è stata conquistata due volte da guide diverse, senza che sapessero l'una dell'altra. Nel luglio del 1875, Paul Grohmann tornò a Sesto accompagnato da Michl Innerkofler (fratello di Franz), e salirono molto probabilmente per quella che ancor oggi è la via normale pensando di raggiungere la "Cima Piatta Alta". La salita fu così rapida che Grohmann non scrisse molti particolari nel suo diario.			1 luglio1875	1875	Paul Grohmann, Michl Innerkofler			Paul Grohmann, Michl Innerkofler			Wikipedia, https://www.montagna.tv/254868/croda-dei-baranci-una-montagna-per-due/
item_1b	Prima ascensione riconosciuta: Croda dei Baranci 	Croda dei Baranci	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent	Cinque anni dopo Grohman, Ludwig Grünwald con la guida ampezzana Santo Siorpaes partì da Landro di buon mattino, ancora prima che si levasse il sole, senza sapere che la vetta era già stata raggiunta. Iniziarono la salita lungo la valle che raggiunge la Bullalm sotto Croda dei Rondoi e arrivarono a Forcella del Lago intorno alle nove dopo cinque ore di cammino in territorio conosciuto solo dai cacciatori.			17 luglio1880	1880	Ludwig Grünwald, Santo Siorpaes			Ludwig Grünwald, Santo Siorpaes			Wikipedia, https://www.montagna.tv/254868/croda-dei-baranci-una-montagna-per-due/
item_2	Prima ascensione: Becca di Montandayné 	Becca di Montandayné	FALSE		Silver age of alpinism		First absolute ascent				1875	1875	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri		Italian	Luigi Vaccarone, Antonio Gramaglia, Michele Ricchiardi, Antonio Castagneri, Domenico Castagneri			Wikipedia
item_3	Prima ascensione: Cima dei Preti 	Cima dei Preti	FALSE		Silver age of alpinism		First absolute ascent	Holzmann e Siorpaes raggiunsero quella che credevano essere la Cima Laste, non sapendo dove si trovavano realmente. L'ascensione è stata riconosciuta come prima ascensione della Cima dei Preti solo 15 anni dopo, quando il professor Diener di Vienna intervenne per dipanare la matassa e attribuire nomi e prime ascensioni corrette, senza aver mai nemmeno visto quella montagna			23 settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann			Wikipedia, https://rampegoni.wordpress.com/2016/11/05/le-potenti-creste-della-cima-dei-preti/
item_4	Prima ascensione: Cimon del Froppa 	Cimon del Froppa	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				19 agosto 1872	1872	Santo Siorpaes, William Edward Utterson-Kelso, Alberto De Falkner, Luigi Orsolina, Peter Salcher			Santo Siorpaes, William Edward Utterson-Kelso, Alberto De Falkner, Luigi Orsolina, Peter Salcher			Wikipedia
item_5	Prima ascensione: Creta Forata 	Creta Forata	FALSE				First absolute ascent				26 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann			Wikipedia
item_6	Prima ascensione: Croda Rossa d'Ampezzo 	Croda Rossa d'Ampezzo	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent	La Croda Rossa d'Ampezzo è notoriamente una montagna estremamente impervia. La via normale da nord-ovest, originariamente tentata nel 1865 da Grohmann che mancò di poco la vetta, fu conquistata solo il 20 giugno 1870 da Whitewell, accompagnato dalle guide Siorpaes e Laneuer. Grohmann, conosciuto come il grande conquistatore delle Dolomiti, fallì qui di pochissimo la vetta nel 1865, rendendo questa una delle sue rare "sconfitte".			20/06/1870	1870	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes		English	Edward Robson Whitwell, Christian Lauener, Santo Siorpaes			Wikipedia, https://www.dolomitiunesco.info/attivita/croda-rossa-anniversario-ascesa-2
item_7	Prima ascensione: Gran Zebrù 	Gran Zebrù	FALSE		Golden age of alpinism		First absolute ascent				03/08/1864	1864	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton	guide tirolesi Michel e Biener	English	Francis Fox Tuckett, Thomas Fowell Buxton, Edward North Buxton, guide tirolesi Michel e Biener			Wikipedia
item_8	Prima ascensione: Monte Duranno 	Monte Duranno	FALSE		Silver age of alpinism		First absolute ascent				22 luglio 1874	1874	Santo Siorpaes, William Edward Utterson-Kelso		English	Santo Siorpaes, William Edward Utterson-Kelso			Wikipedia
item_9	Prima ascensione: Monte Popera 	Monte Popera	FALSE		Silver age of alpinism, Prime Ascensioni sulle Dolomiti		First absolute ascent				settembre 1874	1874	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann			Wikipedia
item_10	Prima ascensione: Monte Siera 	Monte Siera	FALSE				First absolute ascent				23 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann			Wikipedia
item_11	Prima ascensione: Monte Terza Grande 	Monte Terza Grande	FALSE				First absolute ascent				25 settembre 1878	1878	Santo Siorpaes, Maurice Holzmann		Alpine Club (UK)	Santo Siorpaes, Maurice Holzmann			Wikipedia
item_12	Prima ascensione: Zinalrothorn 	Zinalrothorn	FALSE		Golden age of alpinism		First absolute ascent				22 agosto 1864	1864	Leslie Stephen, Florence Crauford Grove	Jakob Anderegg, Melchior Anderegg	Switzerland, England	Leslie Stephen, Florence Crauford Grove, Jakob Anderegg, Melchior Anderegg		Studer, Vol 2, pp. 257-9	Wikipedia, Wikipedia Table
item_13	Prima ascensione: Ago di Sciora 	Ago di Sciora	FALSE				First absolute ascent				04/06/1893	1893	Anton von Rydzewski	C. Klucker, Émile Rey		Anton von Rydzewski, C. Klucker, Émile Rey			Wikipedia
item_14	Prima ascensione: Aiguille d'Argentière 	Aiguille d'Argentière	FALSE		Golden age of alpinism		First absolute ascent				15/07/1864	1864	Edward Whymper, Anthony Adams Reilly	Michel Croz, Michel-Clément Payot, Henri Charlet		Edward Whymper, Anthony Adams Reilly, Michel Croz, Michel-Clément Payot, Henri Charlet			Wikipedia
item_15	Prima ascensione: Aiguille de la Bérangère 	Aiguille de la Bérangère	FALSE		Golden age of alpinism		First absolute ascent				agosto 1858	1858	Théodore Hare	Delphin Fournereaux		Théodore Hare, Delphin Fournereaux		Renato Chabod, Lorenzo Grivel, Silvio Saglio, Monte Bianco, vol. I, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1963.	Wikipedia
item_16	Prima ascensione: Aiguille de Rochefort 	Aiguille de Rochefort	FALSE		Silver age of alpinism		First absolute ascent				14 agosto1873	1873	James Eccles	Alphons Payot, Michel-Clément Payot		James Eccles, Alphons Payot, Michel-Clément Payot		Renato Chabod, Lorenzo Grivel, Silvio Saglio e Gino Buscaini, Monte Bianco, vol. II, Guida dei Monti d'Italia, Milano, Club Alpino Italiano e Touring Club Italiano, 1968.	Wikipedia
item_17	Prima ascensione: Aiguille Verte 	Aiguille Verte	FALSE		Silver age of alpinism		First absolute ascent				29/06/1865	1865	Edward Whymper, Christian Almer, Franz Biner		Switzerland, England	Edward Whymper, Christian Almer, Franz Biner			Wikipedia, Wikipedia Table
item_18	Prima ascensione: Ankogel 	Ankogel	FALSE				First absolute ascent		Conflicting Hypotheses		1762	1762	Farmer Patschg		Austria	Farmer Patschg		Erschliessung 3, 247-8	Wikipedia Table
item_19	Prima ascensione: Ankogel 	Ankogel	FALSE				First absolute ascent		Conflicting Hypotheses		1742	1742							Wikipedia
item_20	Prima ascensione: Bietschhorn 	Bietschhorn	FALSE		Golden age of alpinism		First absolute ascent				13 agosto 1859	1859	Johann Siegen, Joseph Aebener, Leslie Stephen      		Switzerland, England	Johann Siegen, Joseph Aebener, Leslie Stephen      		Stephen misspelled his guides as "Zügler" and "Appener"; Studer, Vol 1, pp. 212-6	Wikipedia, Wikipedia Table
item_21	Prima ascensione: Bifertenstock 	Bifertenstock	FALSE		Golden age of alpinism		First absolute ascent				7 settembre1863	1863							Wikipedia
item_22	Prima ascensione: Bric Bucie 	Bric Bucie	FALSE		Silver age of alpinism		First absolute ascent				1876	1876							Wikipedia
